project_name,description,Governorate,Town,land_type,Area,Neighborhood,neighborhood_no,parcel_no,political_classification,slope,view_quality,area_m2,land_use_types,land_use_residential,land_use_commercial,land_use_agricultural,land_use_industrial,electricity,water,Sewage,parcel_frontage (m),road_status1,width_m,road_status2,width_m,road_status3,width_m,parcel_shape,hospitals_facility,schools_facility,police_facility,municipality_facility,LANDFILL_NEARBY,FACTORIES_NEARBY,NOISY_FACILITIES,ANIMAL_FARMS,ownership_document_type,actual_price_per_m2,,,
61,61,Hebron,Bani Naim,PRIVATE,Wadi Al-Joz - Industrial Zone Link,Wadi Al-Joz Basin,37,39,AREA_A,Moderate (15-30%),GOOD,1081,,TRUE,FALSE,FALSE,FALSE,YES_1PHASE,YES,YES_PRIVATE,0,PRIVATE_PROPOSED_UNPAVED,6,FALSE,,FALSE,,RECTANGLE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TABU,46,,,
62,62,Hebron,Bani Naim,PRIVATE,Wadi Al-Joz - Industrial Zone Link,Wadi Al-Joz Basin,37,46,AREA_A,Mild (5-15%),FANTACTIC,910,,TRUE,TRUE,FALSE,FALSE,YES_3PHASE,YES,YES_PRIVATE,33,PUBLIC_EXISTING_PAVED,14,FALSE,,FALSE,,TRIANGLE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TABU,110,,,
63,63,Hebron,Bani Naim,PRIVATE,Wadi Al-Joz - Industrial Zone Link,Wadi Al-Joz Basin,37,97,AREA_A,Flat (0-5%),GOOD,384,,TRUE,FALSE,FALSE,FALSE,YES_1PHASE,YES,YES_PRIVATE,21,PUBLIC_EXISTING_UNPAVED,12,PRIVATE_EXISTING_UNPAVED,6,FALSE,,RECTANGLE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TABU,80,,,
64,64,Hebron,Bani Naim,PRIVATE,Wadi Al-Joz - Industrial Zone Link,Wadi Al-Joz Basin,37,77,AREA_A,Flat (0-5%),BAD,1771,,TRUE,FALSE,FALSE,FALSE,YES_1PHASE,YES,YES_PRIVATE,64,PRIVATE_PROPOSED_UNPAVED,4,PUBLIC_EXISTING_UNPAVED,12,FALSE,,RECTANGLE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TABU,75,,,
65,65,Hebron,Bani Naim,PRIVATE,Wadi Al-Joz - Industrial Zone Link,Wadi Al-Joz Basin,37,75,AREA_A,Mild (5-15%),GOOD,2741,,TRUE,FALSE,FALSE,FALSE,YES_1PHASE,YES,YES_PRIVATE,65,PUBLIC_EXISTING_UNPAVED,12,FALSE,,FALSE,,RECTANGLE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TABU,80,,,
66,66,Hebron,Bani Naim,PRIVATE,Wadi Al-Joz - Industrial Zone Link,Wadi Al-Joz Basin,37,86,AREA_A,Flat (0-5%),BAD,2594,,TRUE,FALSE,TRUE,FALSE,YES_1PHASE,YES,YES_PRIVATE,23,PUBLIC_EXISTING_UNPAVED,8,FALSE,,FALSE,,RECTANGLE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TABU,83,,,
67,67,Hebron,Bani Naim,PRIVATE,Wadi Al-Joz - Industrial Zone Link,Wadi Al-Joz Basin,37,89,AREA_A,Flat (0-5%),BAD,1959,,TRUE,FALSE,TRUE,FALSE,YES_1PHASE,YES,YES_PRIVATE,47,PRIVATE_PROPOSED_UNPAVED,4,FALSE,,FALSE,,SQUARE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TABU,80,,,
68,68,Hebron,Bani Naim,PRIVATE,Wadi Al-Joz - Industrial Zone Link,Wadi Al-Joz Basin,37,91,AREA_A,Flat (0-5%),FANTACTIC,6315,,TRUE,FALSE,TRUE,FALSE,YES_1PHASE,YES,YES_PRIVATE,51,PUBLIC_EXISTING_UNPAVED,5,FALSE,,FALSE,,RECTANGLE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TABU,75,,,
69,69,Hebron,Bani Naim,PRIVATE,Wadi Al-Joz - Industrial Zone Link,Wadi Al-Joz Basin,37,108,AREA_A,Moderate (15-30%),GOOD,1111,,TRUE,FALSE,FALSE,FALSE,YES_1PHASE,YES,YES_PRIVATE,49,PRIVATE_EXISTING_UNPAVED,4,FALSE,,FALSE,,IRREGULAR,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TABU,70,,,
70,70,Hebron,Bani Naim,PRIVATE,Wadi Al-Joz - Industrial Zone Link,Wadi Al-Joz Basin,37,111,AREA_A,Mild (5-15%),GOOD,894,,TRUE,FALSE,FALSE,FALSE,YES_1PHASE,YES,YES_PRIVATE,0,PRIVATE_PROPOSED_UNPAVED,6,FALSE,,FALSE,,RECTANGLE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TABU,60,,,
71,71,Hebron,Bani Naim,PRIVATE,Arabiyah,Jaljal Abu Ali Basin,17,64,AREA_A,Flat (0-5%),GOOD,1322,,FALSE,FALSE,FALSE,TRUE,YES_3PHASE,YES,YES_PRIVATE,36,PUBLIC_PROPOSED_UNPAVED,10,FALSE,,FALSE,,SQUARE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TABU,100,,,
72,72,Hebron,Bani Naim,PRIVATE,Arabiyah,Jaljal Abu Ali Basin,17,69,AREA_A,Mild (5-15%),GOOD,1869,,TRUE,FALSE,TRUE,FALSE,YES_1PHASE,YES,YES_PRIVATE,55,PUBLIC_EXISTING_PAVED,10,PRIVATE_EXISTING_UNPAVED,6,FALSE,,RECTANGLE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TABU,90,,,
73,73,Hebron,Bani Naim,PRIVATE,Arabiyah,Jaljal Abu Ali Basin,17,78,AREA_A,Flat (0-5%),GOOD,1248,,FALSE,FALSE,FALSE,TRUE,YES_3PHASE,YES,YES_PRIVATE,27,PUBLIC_EXISTING_PAVED,14,FALSE,,FALSE,,RECTANGLE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TABU,150,,,
74,74,Hebron,Bani Naim,PRIVATE,Arabiyah,Jaljal Abu Ali Basin,17,74,AREA_A,Flat (0-5%),GOOD,3580,,FALSE,FALSE,FALSE,TRUE,YES_3PHASE,YES,YES_PRIVATE,35,PUBLIC_EXISTING_PAVED,14,FALSE,,FALSE,,RECTANGLE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TABU,160,,,
75,75,Hebron,Bani Naim,PRIVATE,Arabiyah,Jaljal Abu Ali Basin,17,58,AREA_A,Flat (0-5%),GOOD,808,,FALSE,FALSE,FALSE,TRUE,YES_3PHASE,YES,YES_PRIVATE,16,PUBLIC_EXISTING_UNPAVED,6,FALSE,,FALSE,,SQUARE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TABU,92,,,
76,76,Hebron,Bani Naim,PRIVATE,Arabiyah,Jaljal Abu Ali Basin,17,55,AREA_A,Flat (0-5%),GOOD,4224,,FALSE,FALSE,FALSE,TRUE,YES_3PHASE,YES,YES_PRIVATE,46,PUBLIC_EXISTING_PAVED,14,PRIVATE_EXISTING_PAVED,6,FALSE,,RECTANGLE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TABU,170,,,
77,77,Hebron,Bani Naim,PRIVATE,Arabiyah,Jaljal Abu Ali Basin,17,50,AREA_A,Flat (0-5%),GOOD,380,,FALSE,FALSE,TRUE,FALSE,YES_1PHASE,YES,YES_PRIVATE,10,PRIVATE_EXISTING_UNPAVED,6,FALSE,,FALSE,,RECTANGLE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TABU,50,,,
78,78,Hebron,Bani Naim,PRIVATE,Arabiyah,Jaljal Abu Ali Basin,17,35,AREA_A,Flat (0-5%),GOOD,3782,,FALSE,FALSE,FALSE,TRUE,YES_3PHASE,YES,YES_PRIVATE,78,PUBLIC_EXISTING_PAVED,14,PUBLIC_EXISTING_PAVED,10,FALSE,,SQUARE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TABU,175,,,
79,79,Hebron,Bani Naim,PRIVATE,Arabiyah,Jaljal Abu Ali Basin,17,30,AREA_A,Flat (0-5%),GOOD,12558,,FALSE,FALSE,FALSE,TRUE,YES_3PHASE,YES,YES_PRIVATE,62,PUBLIC_EXISTING_PAVED,14,FALSE,,FALSE,,RECTANGLE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TABU,120,,,
80,80,Hebron,Bani Naim,PRIVATE,Arabiyah,Jaljal Abu Ali Basin,17,6,AREA_A,Flat (0-5%),GOOD,1668,,FALSE,FALSE,FALSE,TRUE,YES_3PHASE,YES,YES_PUBLIC,31,PUBLIC_EXISTING_UNPAVED,10,FALSE,,FALSE,,RECTANGLE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TABU,90,,,
81,81,Hebron,Bani Naim,PRIVATE,Arabiyah,Jaljal Abu Ali Basin,17,10,AREA_A,Flat (0-5%),GOOD,3439,,TRUE,FALSE,TRUE,FALSE,YES_1PHASE,YES,YES_PUBLIC,0,PRIVATE_EXISTING_UNPAVED,5,FALSE,,FALSE,,IRREGULAR,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TABU,76,,,
82,82,Hebron,Bani Naim,PRIVATE,Arabiyah,Jaljal Abu Ali Basin,17,13,AREA_A,Flat (0-5%),GOOD,828,,TRUE,TRUE,FALSE,FALSE,YES_1PHASE,YES,YES_PUBLIC,57,PUBLIC_EXISTING_PAVED,10,PUBLIC_PROPOSED_UNPAVED,4,FALSE,,TRIANGLE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TABU,80,,,
83,83,Hebron,Bani Naim,PRIVATE,Arabiyah,Jaljal Abu Ali Basin,17,16,AREA_A,Flat (0-5%),GOOD,991,,TRUE,FALSE,TRUE,FALSE,YES_1PHASE,YES,YES_PUBLIC,19,PRIVATE_PROPOSED_UNPAVED,10,FALSE,,FALSE,,IRREGULAR,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TABU,65,,,
84,84,Hebron,Bani Naim,PRIVATE,Arabiyah,Jaljal Abu Ali Basin,17,19,AREA_A,Flat (0-5%),GOOD,2481,,FALSE,FALSE,FALSE,TRUE,YES_3PHASE,YES,YES_PUBLIC,68,PUBLIC_PROPOSED_UNPAVED,9,PRIVATE_EXISTING_UNPAVED,6,FALSE,,RECTANGLE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TABU,90,,,
85,85,Hebron,Bani Naim,PRIVATE,Arabiyah,Jaljal Abu Ali Basin,17,21,AREA_A,Flat (0-5%),GOOD,2645,,FALSE,FALSE,FALSE,TRUE,YES_3PHASE,YES,YES_PUBLIC,45,PUBLIC_PROPOSED_UNPAVED,9,FALSE,,FALSE,,RECTANGLE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TABU,84,,,
86,86,Hebron,Bani Naim,PRIVATE,Arabiyah,Jaljal Abu Ali Basin,17,23,AREA_A,Flat (0-5%),GOOD,2646,,FALSE,FALSE,FALSE,TRUE,YES_3PHASE,YES,YES_PRIVATE,40,PUBLIC_PROPOSED_UNPAVED,9,FALSE,,FALSE,,RECTANGLE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TABU,82,,,
87,87,Hebron,Bani Naim,PRIVATE,Arabiyah,Jaljal Abu Ali Basin,17,27,AREA_A,Flat (0-5%),GOOD,2193,,FALSE,FALSE,FALSE,TRUE,YES_3PHASE,YES,YES_PRIVATE,69,PUBLIC_EXISTING_UNPAVED,10,FALSE,,FALSE,,RECTANGLE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TABU,95,,,
88,88,Hebron,Bani Naim,PRIVATE,Arabiyah,Jaljal Abu Ali Basin,17,29,AREA_A,Flat (0-5%),GOOD,2090,,FALSE,FALSE,FALSE,TRUE,YES_3PHASE,YES,YES_PRIVATE,0,PUBLIC_EXISTING_UNPAVED,10,FALSE,,FALSE,,RECTANGLE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TABU,90,,,
89,89,Hebron,Bani Naim,PRIVATE,Arabiyah,Jaljal Abu Ali Basin,17,31,AREA_A,Flat (0-5%),GOOD,1196,,TRUE,FALSE,TRUE,FALSE,YES_1PHASE,YES,YES_PRIVATE,30,PUBLIC_PROPOSED_UNPAVED,10,PUBLIC_PROPOSED_UNPAVED,10,FALSE,,SQUARE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TABU,70,,,
90,90,Hebron,Bani Naim,PRIVATE,Arabiyah,Jaljal Abu Ali Basin,17,15,AREA_A,Flat (0-5%),GOOD,500,,TRUE,FALSE,FALSE,FALSE,YES_1PHASE,YES,YES_PRIVATE,30,PUBLIC_EXISTING_PAVED,10,PRIVATE_EXISTING_UNPAVED,4,FALSE,,RECTANGLE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TABU,90,,,
91,91,Hebron,Bani Naim,PRIVATE,Yaqeen,Yaqeen,41,2,AREA_B,Mild (5-15%),GOOD,476,,TRUE,FALSE,FALSE,FALSE,YES_1PHASE,YES,YES_PRIVATE,20,PRIVATE_EXISTING_UNPAVED,7,FALSE,,FALSE,,RECTANGLE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TABU,60,,,
92,92,Hebron,Bani Naim,PRIVATE,Yaqeen,Yaqeen,41,4,AREA_B,Flat (0-5%),GOOD,456,,TRUE,TRUE,FALSE,FALSE,YES_1PHASE,YES,YES_PRIVATE,26,PUBLIC_EXISTING_PAVED,14,PRIVATE_EXISTING_UNPAVED,4,PRIVATE_EXISTING_PAVED,4,RECTANGLE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TABU,110,,,
93,93,Hebron,Bani Naim,PRIVATE,Yaqeen,Yaqeen,41,7,AREA_B,Steep (>30%),GOOD,801,,TRUE,FALSE,FALSE,FALSE,YES_1PHASE,YES,YES_PRIVATE,0,PRIVATE_PROPOSED_UNPAVED,3,FALSE,,FALSE,,IRREGULAR,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TABU,29,,,
94,94,Hebron,Bani Naim,PRIVATE,Yaqeen,Yaqeen,41,9,AREA_B,Moderate (15-30%),GOOD,610,,TRUE,FALSE,FALSE,FALSE,YES_1PHASE,YES,YES_PRIVATE,23,PRIVATE_EXISTING_UNPAVED,7,PRIVATE_EXISTING_PAVED,4,FALSE,,RECTANGLE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TABU,48,,,
95,95,Hebron,Bani Naim,PRIVATE,Yaqeen,Yaqeen,41,12,AREA_B,Moderate (15-30%),BAD,1964,,TRUE,FALSE,FALSE,FALSE,YES_1PHASE,YES,YES_PRIVATE,0,PUBLIC_EXISTING_UNPAVED,10,FALSE,,FALSE,,IRREGULAR,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TABU,31,,,
96,96,Hebron,Bani Naim,PRIVATE,Yaqeen,Yaqeen,41,15,AREA_B,Mild (5-15%),BAD,731,,TRUE,FALSE,FALSE,FALSE,YES_1PHASE,YES,YES_PRIVATE,20,PUBLIC_EXISTING_UNPAVED,10,FALSE,,FALSE,,RECTANGLE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TABU,36,,,
97,97,Hebron,Bani Naim,PRIVATE,Yaqeen,Yaqeen,41,19,AREA_C,Mild (5-15%),FANTACTIC,1395,,TRUE,FALSE,FALSE,FALSE,YES_1PHASE,YES,YES_PRIVATE,49,PRIVATE_EXISTING_UNPAVED,5,FALSE,,FALSE,,RECTANGLE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TABU,40,,,
98,98,Hebron,Bani Naim,PRIVATE,Yaqeen,Yaqeen,41,24,AREA_C,Flat (0-5%),FANTACTIC,261,,TRUE,TRUE,FALSE,FALSE,YES_1PHASE,YES,YES_PRIVATE,14,PUBLIC_EXISTING_PAVED,14,FALSE,,FALSE,,RECTANGLE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TABU,100,,,
99,99,Hebron,Bani Naim,PRIVATE,Yaqeen,Yaqeen,41,30,AREA_C,Mild (5-15%),FANTACTIC,1078,,TRUE,FALSE,FALSE,FALSE,YES_1PHASE,YES,YES_PRIVATE,47,PRIVATE_EXISTING_UNPAVED,5,FALSE,,FALSE,,RECTANGLE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TABU,40,,,
100,100,Hebron,Bani Naim,PRIVATE,Yaqeen,Yaqeen,41,38,AREA_C,Mild (5-15%),GOOD,665,,TRUE,FALSE,FALSE,FALSE,YES_1PHASE,YES,YES_PRIVATE,20,PRIVATE_EXISTING_UNPAVED,5,FALSE,,FALSE,,RECTANGLE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TABU,29,,,
